전국,수도권,서울,,국고채?3년(평균),국고채?5년(평균),국고채?10년(평균),회사채?3년(평균),CD?91물(평균),"콜금리(1일물,평균)",기준금리
95.7,91.4,84.3,201601월,1.63,1.77,2.03,2.10,1.67,1.49,1.5
95.9,91.5,84.5,201602월,1.47,1.59,1.83,1.95,1.64,1.49,1.5
95.7,91.6,84.5,201603월,1.50,1.61,1.85,1.98,1.63,1.49,1.5
95.7,91.8,84.8,201604월,1.47,1.57,1.81,1.94,1.61,1.49,1.5
95.7,92.2,85.5,201605월,1.46,1.55,1.79,1.91,1.58,1.49,1.5
96,92.8,86.6,201606월,1.33,1.41,1.62,1.79,1.43,1.29,1.25
96.6,93.7,88,201607월,1.22,1.25,1.40,1.65,1.36,1.23,1.25
97.2,94.7,89.2,201608월,1.24,1.26,1.42,1.65,1.35,1.23,1.25
98.1,95.6,90.4,201609월,1.31,1.35,1.51,1.70,1.34,1.24,1.25
98.8,96.5,91.6,201610월,1.36,1.41,1.60,1.78,1.35,1.23,1.25
98.9,96.6,91.8,201611월,1.61,1.74,1.97,2.02,1.42,1.23,1.25
98.6,96.2,91.2,201612월,1.69,1.87,2.16,2.16,1.54,1.23,1.25
98.3,95.9,91,201701월,1.64,1.82,2.11,2.10,1.50,1.24,1.25
98.5,95.9,91,201702월,1.67,1.86,2.16,2.13,1.49,1.23,1.25
98.7,96.3,91.7,201703월,1.71,1.91,2.22,2.21,1.48,1.23,1.25
98.6,96.4,92,201704월,1.68,1.86,2.18,2.20,1.43,1.23,1.25
98.9,97,93.4,201705월,1.70,1.91,2.26,2.22,1.40,1.23,1.25
99.4,98.1,95.3,201706월,1.67,1.86,2.17,2.21,1.38,1.24,1.25
100.1,99.3,97.8,201707월,1.74,1.94,2.25,2.28,1.39,1.24,1.25
100.2,99.7,98,201708월,1.78,1.99,2.29,2.32,1.39,1.23,1.25
100.3,99.8,98.3,201709월,1.79,1.99,2.29,2.33,1.38,1.25,1.25
100.3,100.2,99.4,201710월,2.03,2.25,2.46,2.57,1.38,1.24,1.25
100,100,100,201711월,2.15,2.36,2.54,2.71,1.45,1.26,1.5
99.6,99.9,100.9,201712월,2.10,2.30,2.47,2.65,1.66,1.51,1.5
99.8,100.7,103,201801월,2.19,2.44,2.63,2.72,1.66,1.49,1.5
100.1,101.5,104.8,201802월,2.28,2.54,2.77,2.82,1.65,1.49,1.5
100.2,102,106.1,201803월,2.27,2.50,2.71,2.83,1.65,1.49,1.5
100.2,102.4,107.4,201804월,2.19,2.44,2.66,2.79,1.65,1.47,1.5
99.9,102.4,107.9,201805월,2.25,2.53,2.76,2.86,1.65,1.50,1.5
99.7,102.5,108.6,201806월,2.18,2.44,2.66,2.81,1.65,1.49,1.5
99.6,103.1,110.2,201807월,2.10,2.34,2.55,2.75,1.65,1.49,1.5
100.8,105.5,115,201808월,2.02,2.24,2.46,2.66,1.65,1.50,1.5
102.2,108.3,121.5,201809월,1.95,2.13,2.32,2.40,1.65,1.54,1.5
102.4,108.8,122.4,201810월,2.01,2.16,2.34,2.45,1.68,1.52,1.5
101.6,107.8,120.6,201811월,1.94,2.05,2.21,2.40,1.71,1.51,1.75
100.8,107,119.1,201812월,1.83,1.89,1.99,2.30,1.91,1.77,1.75
100.3,106.2,117.8,201901월,1.81,1.88,1.99,2.26,1.87,1.75,1.75
99.9,105.6,117.1,201902월,1.80,1.87,1.99,2.25,1.87,1.76,1.75
99.2,104.9,116,201903월,1.79,1.84,1.95,2.24,1.90,1.76,1.75
99,104.8,116.1,201904월,1.74,1.77,1.89,2.21,1.89,1.75,1.75
98.8,105,117.2,201905월,1.68,1.72,1.83,2.15,1.84,1.75,1.75
99.1,105.9,119.6,201906월,1.50,1.53,1.62,2.00,1.80,1.76,1.75
99.6,106.9,122.1,201907월,1.38,1.42,1.51,1.89,1.68,1.63,1.5
99.9,107.7,123.8,201908월,1.16,1.20,1.25,1.69,1.49,1.51,1.5
100.3,108.3,125.2,201909월,1.29,1.35,1.42,1.79,1.54,1.52,1.5
100.8,109.2,127.1,201910월,1.36,1.44,1.58,1.86,1.46,1.35,1.25
101.7,110.3,129.4,201911월,1.49,1.59,1.75,2.00,1.52,1.28,1.25
102.7,111.5,131.6,201912월,1.39,1.48,1.65,1.95,1.53,1.28,1.25
103.4,112.6,132.7,202001월,1.37,1.48,1.66,1.96,1.47,1.27,1.25
104.7,114.7,134.5,202002월,1.25,1.36,1.54,1.85,1.42,1.24,1.25
105.5,116.4,135.6,202003월,1.09,1.27,1.49,1.84,1.23,0.98,0.75
105.5,116.3,134.4,202004월,1.02,1.26,1.50,2.15,1.10,0.74,0.75
106.3,117.4,135.1,202005월,0.88,1.13,1.39,2.18,1.02,0.70,0.5
108.3,120.5,140,202006월,0.85,1.13,1.39,2.22,0.79,0.48,0.5
110.7,124.6,147.2,202007월,0.83,1.09,1.36,2.22,0.79,0.48,0.5
112.1,126.9,151.9,202008월,0.83,1.09,1.37,2.19,0.68,0.50,0.5
113,128.1,153.9,202009월,0.91,1.19,1.50,2.24,0.63,0.48,0.5
114.5,129.7,155.2,202010월,0.91,1.20,1.51,2.24,0.63,0.51,0.5
