1,2,3,4,5,6,보너스,합계,최소값,최대값,평균값
4,8,27,34,39,40,13,152,,,
4,8,18,19,39,44,41,132,,,
8,14,23,36,38,39,13,158,,,
1,5,6,14,20,39,22,85,,,
1,2,7,9,10,38,42,67,,,
2,6,18,21,33,34,30,114,,,
2,19,25,26,27,43,28,142,,,
13,14,22,27,30,38,2,144,,,
2,16,19,31,34,35,37,137,,,
5,11,14,27,29,36,44,122,,,
5,12,17,29,34,35,27,132,,,
4,12,24,33,38,45,22,156,,,
8,10,23,24,35,43,37,143,,,
3,4,12,14,25,43,17,101,,,
8,24,28,35,38,40,5,173,,,
2,8,13,25,28,37,3,113,,,
9,10,13,24,33,38,28,127,,,
2,5,6,13,28,44,43,98,,,
8,13,14,30,38,39,5,142,,,
20,30,36,38,41,45,23,210,,,
6,8,28,33,38,39,22,152,,,
2,8,15,22,25,41,30,113,,,
14,21,29,31,32,37,17,164,,,
2,7,12,15,21,34,5,91,,,
6,7,10,16,38,41,4,118,,,
7,18,30,39,40,41,36,175,,,
8,17,27,33,40,44,24,169,,,
2,12,14,33,40,41,25,142,,,
3,5,14,20,42,44,33,128,,,
5,7,9,11,32,35,33,99,,,
5,7,20,22,37,42,39,133,,,
5,12,14,32,34,42,16,139,,,
16,17,22,31,34,37,33,157,,,
10,11,15,25,35,41,13,137,,,
2,8,20,30,33,34,6,127,,,
14,15,16,19,25,43,2,132,,,
2,4,20,34,35,43,14,138,,,
3,13,18,33,37,45,1,149,,,
11,18,21,26,38,43,29,157,,,
1,12,26,27,29,33,42,128,,,
3,6,13,23,24,35,1,104,,,
1,3,17,20,31,44,40,116,,,
1,10,15,16,32,41,28,115,,,
4,5,6,25,26,43,41,109,,,
4,10,18,27,40,45,38,144,,,
14,19,25,26,27,34,2,145,,,
5,10,16,17,31,32,21,111,,,
4,11,13,17,20,31,33,96,,,
5,7,18,37,42,45,20,154,,,
1,4,20,23,29,45,28,122,,,
11,12,25,32,44,45,23,169,,,
12,15,19,26,40,43,29,155,,,
4,20,26,28,35,40,31,153,,,
12,20,23,28,30,44,43,157,,,
11,17,21,24,26,36,12,135,,,
13,14,17,32,41,42,6,159,,,
2,7,17,28,29,39,37,122,,,
1,10,20,32,35,40,43,138,,,
3,6,20,24,27,44,25,124,,,
1,7,14,20,34,37,41,113,,,
29,31,35,38,40,44,17,217,,,
1,12,13,21,32,45,14,124,,,
6,7,15,22,34,39,28,123,,,
8,17,20,27,37,43,6,152,,,
4,24,25,27,34,35,2,149,,,
5,17,21,25,36,44,10,148,,,
13,18,26,31,34,44,12,166,,,
5,6,19,26,41,45,34,142,,,
8,13,26,28,32,34,43,141,,,
3,12,13,15,34,36,14,113,,,
3,19,22,31,42,43,26,160,,,
6,10,18,31,32,34,11,131,,,
12,23,26,30,36,43,11,170,,,
7,8,18,32,37,43,12,145,,,
11,12,14,15,18,39,34,109,,,
10,24,26,29,37,38,32,164,,,
9,14,15,17,31,33,23,119,,,
16,17,23,24,29,44,3,153,,,
1,5,9,21,27,35,45,98,,,
16,23,27,29,33,41,22,169,,,
18,20,24,27,31,42,39,162,,,
5,17,25,31,39,40,10,157,,,
1,12,22,32,33,42,38,142,,,
7,14,17,20,35,39,31,132,,,
11,23,26,29,39,44,22,172,,,
10,11,29,38,41,45,21,174,,,
1,4,37,38,40,45,7,165,,,
4,5,13,14,37,41,11,114,,,
3,7,18,29,32,36,19,125,,,
4,22,27,28,38,40,1,159,,,
6,8,13,16,30,43,3,116,,,
