,전국,수도권,서울,국고채3년(평균),국고채5년(평균),국고채10년(평균),회사채3년(평균),CD91물(평균),"콜금리(1일물,평균)",기준금리
201503,92.00 ,86.90 ,79.40 ,1.87,1.97,2.28,2.13,1.95,1.82,1.75 
201504,92.70 ,87.70 ,80.20 ,1.74,1.86,2.18,1.99,1.81,1.73,1.75 
201505,93.30 ,88.40 ,80.90 ,1.88,2.11,2.49,2.12,1.80,1.74,1.75 
201506,93.80 ,88.90 ,81.40 ,1.77,2.04,2.47,2.01,1.70,1.57,1.50 
201507,94.70 ,89.90 ,82.50 ,1.78,2.05,2.45,2.00,1.65,1.48,1.50 
201508,95.40 ,90.60 ,83.20 ,1.74,1.95,2.31,1.98,1.64,1.49,1.50 
201509,96.00 ,91.30 ,83.90 ,1.65,1.85,2.22,1.95,1.60,1.48,1.50 
201510,96.40 ,91.70 ,84.40 ,1.63,1.78,2.09,1.96,1.58,1.48,1.50 
201511,96.40 ,91.90 ,84.80 ,1.75,1.95,2.25,2.12,1.59,1.49,1.50 
201512,95.80 ,91.40 ,84.40 ,1.72,1.90,2.18,2.14,1.67,1.48,1.50 
201601,95.70 ,91.40 ,84.30 ,1.63,1.77,2.03,2.10,1.67,1.49,1.50 
201602,95.90 ,91.50 ,84.50 ,1.47,1.59,1.83,1.95,1.64,1.49,1.50 
201603,95.70 ,91.60 ,84.50 ,1.50,1.61,1.85,1.98,1.63,1.49,1.50 
201604,95.70 ,91.80 ,84.80 ,1.47,1.57,1.81,1.94,1.61,1.49,1.50 
201605,95.70 ,92.20 ,85.50 ,1.46,1.55,1.79,1.91,1.58,1.49,1.50 
201606,96.00 ,92.80 ,86.60 ,1.33,1.41,1.62,1.79,1.43,1.29,1.25 
201607,96.60 ,93.70 ,88.00 ,1.22,1.25,1.40,1.65,1.36,1.23,1.25 
201608,97.20 ,94.70 ,89.20 ,1.24,1.26,1.42,1.65,1.35,1.23,1.25 
201609,98.10 ,95.60 ,90.40 ,1.31,1.35,1.51,1.70,1.34,1.24,1.25 
